id,name
1,Bursari
2,Karasuwa
3,Jakusko
4,Abadam
5,Gujba
6,Biu
7,Yunusari
8,Bade
9,Jere
10,Kala/Balge
11,Nguru
12,Yola North
13,Damboa
14,Yusufari
15,Chibok
16,Lamurde
17,Potiskum
18,Machina
19,Fune
20,Jada
21,Ganye
22,Kukawa
23,Gombi
24,Michika
25,Nangere
26,Toungo
27,Fufore
28,Hawul
29,Girei
30,Monguno
31,Marte
32,Bama
33,Gulani
34,Nganzai
35,Maiduguri
36,Fika
37,Guzamala
38,Shani
39,Kwaya Kusar
40,Guyuk
41,Demsa
42,Shelleng
43,Askira/Uba
44,Mubi South
45,Mobbar
46,Mayo-Belwa
47,Tarmuwa
48,Hong
49,Mubi North
50,Yola South
51,Maiha
52,Numan
53,Madagali
54,Song
55,Geidam
56,Gwoza
57,Gubio
58,Bayo
59,Kaga
60,Magumeri
61,Damaturu
62,Mafa
63,Ngala
64,Dikwa
65,Konduga
